,nthreads,M,N,time
0,1,100,100,0.00194097
1,2,100,100,0.00202894
2,3,100,100,0.00217295
3,4,100,100,0.00256491
4,1,144,144,0.00603986
5,2,144,144,0.00859094
6,3,144,144,0.00664306
7,4,144,144,0.00713801
8,1,200,200,0.0162199
9,2,200,200,0.020942
10,3,200,200,0.0172989
11,4,200,200,0.0194221
12,1,288,288,0.0478048
13,2,288,288,0.067188
14,3,288,288,0.0615633
15,4,288,288,0.0596652
16,1,400,400,0.128723
17,2,400,400,0.155281
18,3,400,400,0.149698
19,4,400,400,0.169204
20,1,576,576,0.380612
21,2,576,576,0.468303
22,3,576,576,0.451147
23,4,576,576,0.503383
24,1,800,800,1.01367
25,2,800,800,1.26687
26,3,800,800,1.35466
27,4,800,800,1.2428
28,1,1024,1024,2.12058
29,2,1024,1024,2.77241
30,3,1024,1024,2.64402
31,4,1024,1024,2.96256
32,1,1600,1600,8.06874
33,2,1600,1600,10.3594
34,3,1600,1600,10.324
35,4,1600,1600,10.7587
