,nthreads,ssize,tot,mean,med,stdev
0,1.0,1024.0,13.0,13.0,13.0,
1,1.0,32768.0,71.0,71.0,71.0,
2,1.0,1048576.0,2086.0,2086.0,2086.0,0.0
3,1.0,33554432.0,105559.0,105559.0,105559.0,
4,1.0,1073741824.0,11933900.0,11933900.0,11933900.0,
5,2.0,1024.0,63.0,31.5,31.5,0.5
6,2.0,32768.0,88.0,44.0,44.0,2.0
7,2.0,1048576.0,2199.0,1099.5,1099.5,24.5
8,2.0,33554432.0,82027.0,41013.5,41013.5,2903.5
9,2.0,1073741824.0,15945200.0,7972590.0,7972590.0,
10,3.0,1024.0,32.0,10.6667,12.0,3.39935
11,3.0,32768.0,142.0,47.3333,51.0,7.4087
12,3.0,1048576.0,2648.0,882.667,893.0,71.0039
13,3.0,33554432.0,93946.0,31315.3,31340.0,2569.57
14,3.0,1073741824.0,20454800.0,6818260.0,6922200.0,
15,4.0,1024.0,78.0,19.5,20.0,13.6107
16,4.0,32768.0,230.0,57.5,63.0,14.6714
17,4.0,1048576.0,2806.0,701.5,699.5,62.9226
18,4.0,33554432.0,107693.0,26923.2,26926.5,2638.48
19,4.0,1073741824.0,24813200.0,6203290.0,6253270.0,
20,5.0,1024.0,120.0,24.0,20.0,15.6333
21,5.0,32768.0,447.0,89.4,92.0,27.0599
22,5.0,1048576.0,3611.0,722.2,706.0,112.136
23,5.0,33554432.0,136957.0,27391.4,27481.0,2800.61
24,5.0,1073741824.0,30144700.0,6028940.0,6090910.0,
25,6.0,1024.0,114.0,19.0,19.5,10.8321
26,6.0,32768.0,804.0,134.0,134.0,26.0256
27,6.0,1048576.0,4830.0,805.0,763.5,150.161
28,6.0,33554432.0,156804.0,26134.0,26227.0,2931.18
29,6.0,1073741824.0,35611500.0,5935240.0,6017240.0,
30,7.0,1024.0,227.0,32.4286,27.0,21.6258
31,7.0,32768.0,1594.0,227.714,236.0,36.4171
32,7.0,1048576.0,7839.0,1119.86,1191.0,191.992
33,7.0,33554432.0,184916.0,26416.6,26451.0,2744.43
34,7.0,1073741824.0,41015600.0,5859370.0,5918200.0,
35,8.0,1024.0,146.0,18.25,14.0,16.3306
36,8.0,32768.0,445.0,55.625,49.5,22.4941
37,8.0,1048576.0,5267.0,658.375,633.5,163.773
38,8.0,33554432.0,219834.0,27479.2,27982.0,3474.79
39,8.0,1073741824.0,47068500.0,5883560.0,5951370.0,
