,nthreads,ssize,tot,mean,med,stdev
73,4.0,1048576.0,0.00146365,0.000365913,0.000315428,9.79467e-05
74,4.0,2097152.0,0.00339293,0.000848234,0.000850439,0.000251227
75,4.0,4194304.0,0.00610566,0.00152642,0.00134242,0.000376104
76,4.0,8388608.0,0.011878,0.0029695,0.00271201,0.000468021
77,4.0,16777216.0,0.0230889,0.00577223,0.00552154,0.000480165
78,4.0,33554432.0,0.0454717,0.0113679,0.0110985,0.000527841
79,4.0,67108864.0,0.0908668,0.0227167,0.0224844,0.000512622
80,4.0,134217728.0,0.180034,0.0450085,0.0447359,0.00047722
81,4.0,268435456.0,0.366696,0.091674,0.09092,0.00200746
82,4.0,536870912.0,0.724307,0.181077,0.180928,0.000294244
83,4.0,1073741824.0,1.44106,0.360265,0.360213,0.00040026
84,5.0,1024.0,4.05312e-06,8.10623e-07,9.53674e-07,4.15697e-07
85,5.0,2048.0,7.15256e-06,1.43051e-06,9.53674e-07,1.40647e-06
86,5.0,4096.0,4.22001e-05,8.44002e-06,3.8147e-06,1.08428e-05
87,5.0,8192.0,3.09944e-05,6.19888e-06,6.91414e-06,4.67446e-06
88,5.0,16384.0,7.27177e-05,1.45435e-05,4.05312e-06,1.35802e-05
89,5.0,32768.0,7.39098e-05,1.4782e-05,8.10623e-06,9.15974e-06
90,5.0,65536.0,0.000189781,3.79562e-05,4.19617e-05,2.03724e-05
91,5.0,131072.0,0.00022006,4.40121e-05,3.09944e-05,1.75186e-05
92,5.0,262144.0,0.000420094,8.40187e-05,6.29425e-05,2.7844e-05
93,5.0,524288.0,0.000726938,0.000145388,0.000124931,4.18701e-05
94,5.0,1048576.0,0.00148916,0.000297832,0.000264168,7.58232e-05
95,5.0,2097152.0,0.0044198,0.000883961,0.000607967,0.000432457
96,5.0,4194304.0,0.00682402,0.0013648,0.00108695,0.000364596
97,5.0,8388608.0,0.0133092,0.00266185,0.0022831,0.00061491
98,5.0,16777216.0,0.0254312,0.00508623,0.00455403,0.000740333
99,5.0,33554432.0,0.0512245,0.0102449,0.00924301,0.00214887
100,5.0,67108864.0,0.105,0.021,0.018913,0.0031629
