,nthreads,ssize,tot,mean,med,stdev
74,4.0,2097152.0,0.00069499,0.000617325,0.000618577,1.68725e-05
75,4.0,4194304.0,0.00142694,0.00128722,0.00128853,4.38363e-05
76,4.0,8388608.0,0.00294018,0.00272447,0.00274801,0.000138202
77,4.0,16777216.0,0.00570416,0.00556332,0.00557458,6.15855e-05
78,4.0,33554432.0,0.0117791,0.011479,0.011425,0.00013296
79,4.0,67108864.0,0.02581,0.023353,0.0227,0.0014017
80,4.0,134217728.0,0.047112,0.045527,0.045128,0.000874038
81,4.0,268435456.0,0.093879,0.0907458,0.0899986,0.00183523
82,4.0,536870912.0,0.188316,0.182572,0.181394,0.0036225
83,4.0,1073741824.0,1.31796,1.05912,1.06081,0.207279
84,5.0,1024.0,9.60827e-05,1.38283e-06,9.53674e-07,1.04904e-06
85,5.0,2048.0,5.31673e-05,5.72205e-07,9.53674e-07,4.67203e-07
86,5.0,4096.0,7.41482e-05,2.38419e-06,9.53674e-07,2.16948e-06
87,5.0,8192.0,7.10487e-05,4.86374e-06,2.14577e-06,5.67536e-06
88,5.0,16384.0,6.98566e-05,1.00136e-05,4.05312e-06,7.75942e-06
89,5.0,32768.0,9.39369e-05,1.93596e-05,7.86781e-06,1.65156e-05
90,5.0,65536.0,8.79765e-05,2.23637e-05,1.50204e-05,1.04811e-05
91,5.0,131072.0,0.000111818,4.03881e-05,3.00407e-05,1.47439e-05
92,5.0,262144.0,0.000190973,7.52449e-05,6.19888e-05,2.79646e-05
93,5.0,524288.0,0.000289917,0.000148201,0.000121117,4.50556e-05
94,5.0,1048576.0,0.000507832,0.00032506,0.000250101,9.44056e-05
95,5.0,2097152.0,0.000983953,0.000577354,0.000492096,0.000170492
96,5.0,4194304.0,0.00170803,0.00110874,0.000974894,0.000268658
97,5.0,8388608.0,0.0033288,0.00221052,0.00195503,0.000523774
98,5.0,16777216.0,0.00668383,0.00452018,0.00403714,0.00103392
99,5.0,33554432.0,0.0129781,0.00877218,0.00776505,0.00206101
100,5.0,67108864.0,0.0289521,0.0195982,0.0179629,0.00480064
101,5.0,134217728.0,0.042824,0.0401005,0.0424209,0.003031
102,5.0,268435456.0,0.0858049,0.0821554,0.081816,0.00262655
103,5.0,536870912.0,0.170189,0.165695,0.165086,0.00365426
104,5.0,1073741824.0,1.17101,0.928254,0.947381,0.187452
105,6.0,1024.0,0.000103951,5.5631e-07,4.76837e-07,5.61958e-07
106,6.0,2048.0,0.000121832,1.47025e-06,9.53674e-07,8.0754e-07
107,6.0,4096.0,8.2016e-05,1.70867e-06,1.07288e-06,9.87032e-07
108,6.0,8192.0,7.70092e-05,3.13918e-06,1.90735e-06,2.45628e-06
109,6.0,16384.0,0.000123024,9.65595e-06,8.58307e-06,6.87256e-06
110,6.0,32768.0,8.10623e-05,1.18415e-05,6.55651e-06,7.99285e-06
111,6.0,65536.0,9.70364e-05,2.41995e-05,2.15769e-05,1.1996e-05
112,6.0,131072.0,0.000137806,3.7233e-05,3.51667e-05,1.3565e-05
113,6.0,262144.0,0.000167131,7.38303e-05,6.09159e-05,2.70261e-05
114,6.0,524288.0,0.000254154,0.000133316,0.00011456,3.81806e-05
115,6.0,1048576.0,0.000463009,0.000267545,0.000213981,8.37895e-05
116,6.0,2097152.0,0.000864983,0.000532985,0.000410914,0.000178102
117,6.0,4194304.0,0.00150323,0.00101153,0.000813484,0.000280935
118,6.0,8388608.0,0.00301099,0.00205783,0.001665,0.000586106
119,6.0,16777216.0,0.0057981,0.00415417,0.00346351,0.00103669
120,6.0,33554432.0,0.0116961,0.00860631,0.007218,0.00207503
121,6.0,67108864.0,0.0206821,0.0167023,0.0161285,0.00279295
122,6.0,134217728.0,0.0377879,0.0359319,0.0354501,0.00104416
123,6.0,268435456.0,0.0811141,0.0740257,0.0731535,0.00488317
124,6.0,536870912.0,0.168622,0.154527,0.153877,0.00936099
125,6.0,1073741824.0,0.977017,0.741495,0.766697,0.207978
126,7.0,1024.0,8.91685e-05,3.06538e-07,0.0,4.8885e-07
127,7.0,2048.0,0.000124931,1.15803e-06,1.19209e-06,8.30109e-07
128,7.0,4096.0,8.91685e-05,1.97547e-06,1.19209e-06,1.46813e-06
129,7.0,8192.0,0.000102997,4.12124e-06,2.14577e-06,2.48986e-06
130,7.0,16384.0,9.08375e-05,6.06264e-06,3.09944e-06,5.03002e-06
