,nthreads,M,N,time
0,1,100,100,0.00958514
1,2,100,100,0.00447798
2,3,100,100,0.00297999
3,4,100,100,0.00216699
4,5,100,100,0.00219703
5,6,100,100,0.00153804
6,7,100,100,0.00225496
7,8,100,100,0.00218415
8,1,144,144,0.017091
9,2,144,144,0.00715208
10,3,144,144,0.00454998
11,4,144,144,0.00357199
12,5,144,144,0.00405598
13,6,144,144,0.00333095
14,7,144,144,0.00365114
15,8,144,144,0.00315189
16,1,200,200,0.025826
17,2,200,200,0.0123911
18,3,200,200,0.00816393
19,4,200,200,0.00793695
20,5,200,200,0.0079329
21,6,200,200,0.00686908
22,7,200,200,0.00762892
23,8,200,200,0.00658488
24,1,288,288,0.071264
25,2,288,288,0.03649
26,3,288,288,0.024519
27,4,288,288,0.0202451
28,5,288,288,0.020304
29,6,288,288,0.0180631
30,7,288,288,0.0190001
31,8,288,288,0.0158749
32,1,400,400,0.192584
33,2,400,400,0.0938969
34,3,400,400,0.064661
35,4,400,400,0.0491219
36,5,400,400,0.0459869
37,6,400,400,0.0427842
38,7,400,400,0.041023
39,8,400,400,0.0383191
40,1,576,576,0.550139
41,2,576,576,0.280994
42,3,576,576,0.193908
43,4,576,576,0.145048
44,5,576,576,0.129895
45,6,576,576,0.123179
46,7,576,576,0.11364
47,8,576,576,0.11097
48,1,800,800,1.46017
49,2,800,800,0.761296
50,3,800,800,0.51752
51,4,800,800,0.387042
52,5,800,800,0.355271
53,6,800,800,0.322841
54,7,800,800,0.307895
55,8,800,800,0.288244
56,1,1024,1024,3.06474
57,2,1024,1024,1.56974
58,3,1024,1024,1.08349
59,4,1024,1024,0.812951
60,5,1024,1024,0.742256
61,6,1024,1024,0.679209
62,7,1024,1024,0.63374
63,8,1024,1024,0.598291
64,1,1600,1600,11.813
65,2,1600,1600,5.9984
66,3,1600,1600,4.13327
67,4,1600,1600,3.09957
68,5,1600,1600,2.83667
69,6,1600,1600,2.61661
70,7,1600,1600,2.43068
71,8,1600,1600,2.28132
