,nthreads,M,N,time
0,1,100,100,0.00378704
1,2,100,100,0.00252295
2,3,100,100,0.00382209
3,4,100,100,0.00370717
4,1,144,144,0.010287
5,2,144,144,0.00613499
6,3,144,144,0.00930882
7,4,144,144,0.00660992
8,1,200,200,0.0197179
9,2,200,200,0.0217288
10,3,200,200,0.0175169
11,4,200,200,0.0202839
12,1,288,288,0.0480819
13,2,288,288,0.066746
14,3,288,288,0.0616729
15,4,288,288,0.059917
16,1,400,400,0.127399
17,2,400,400,0.162027
18,3,400,400,0.143356
19,4,400,400,0.166619
20,1,576,576,0.390383
21,2,576,576,0.468324
22,3,576,576,0.44757
23,4,576,576,0.43613
24,1,800,800,1.02329
25,2,800,800,1.18011
26,3,800,800,1.12159
27,4,800,800,1.14127
28,1,1024,1024,2.11538
29,2,1024,1024,2.6581
30,3,1024,1024,2.68676
31,4,1024,1024,2.50905
32,1,1600,1600,8.08184
33,2,1600,1600,10.2844
34,3,1600,1600,9.38367
35,4,1600,1600,9.11973
